"hospital" "state"
"FAIRBANKS MEMORIAL HOSPITAL" "AK"
"SPRINGHILL MEDICAL CENTER" "AL"
"BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK" "AR"
"CARONDELET ST JOSEPHS HOSPITAL" "AZ"
"HUNTINGTON BEACH HOSPITAL" "CA"
"MCKEE MEDICAL CENTER" "CO"
"ROCKVILLE GENERAL HOSPITAL" "CT"
NA "DC"
NA "DE"
"HIGHLANDS REGIONAL MEDICAL CENTER" "FL"
"DEKALB MEDICAL CENTER AT HILLANDALE" "GA"
NA "GU"
"HAWAII MEDICAL CENTER EAST" "HI"
"AUDUBON COUNTY MEMORIAL HOSPITAL" "IA"
"BONNER GENERAL HOSPITAL" "ID"
"ALEXIAN BROTHERS MEDICAL CENTER" "IL"
"CLARK MEMORIAL HOSPITAL" "IN"
"DECATUR COUNTY HOSPITAL" "KS"
"ST ELIZABETH FT THOMAS" "KY"
"ST FRANCIS MEDICAL CENTER" "LA"
"NORTH SHORE MEDICAL CENTER" "MA"
"MARYLAND GENERAL  HOSPITAL" "MD"
"CARY MEDICAL CENTER" "ME"
"OAKWOOD HOSPITAL AND MEDICAL CENTER" "MI"
"RIDGEVIEW MEDICAL CENTER" "MN"
"CHRISTIAN HOSPITAL NORTHEAST" "MO"
"GREENWOOD LEFLORE HOSPITAL" "MS"
"ST JOHN'S LUTHERAN HOSPITAL" "MT"
"WAKEMED, CARY HOSPITAL" "NC"
"SANFORD MEDICAL CENTER FARGO" "ND"
"YORK GENERAL HOSPITAL" "NE"
"PORTSMOUTH REGIONAL HOSPITAL" "NH"
"VALLEY HOSPITAL" "NJ"
"HOLY CROSS HOSPITAL A DIV OF TAOS HEALTH SYSTEMS" "NM"
"RENOWN SOUTH MEADOWS MEDICAL CENTER" "NV"
"MOUNT SINAI HOSPITAL" "NY"
"TRUMBULL MEMORIAL HOSPITAL" "OH"
"MARY HURLEY HOSPITAL" "OK"
"ST ANTHONY HOSPITAL" "OR"
"UPMC HORIZON" "PA"
"HOSPITAL HERMANOS MELENDEZ INC" "PR"
"NEWPORT HOSPITAL" "RI"
"CHARLESTON VA MEDICAL CENTER" "SC"
"AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER" "SD"
"FORT SANDERS REGIONAL MEDICAL CENTER" "TN"
"UT SOUTHWESTERN UNIVERSITY HOSPITAL" "TX"
"VALLEY VIEW MEDICAL CENTER" "UT"
"CARILION GILES COMMUNITY HOSPITAL" "VA"
NA "VI"
"CENTRAL VERMONT MEDICAL CENTER" "VT"
"VIRGINIA MASON MEDICAL CENTER" "WA"
"WHEATON FRANCISCAN HEALTHCARE- ALL SAINTS" "WI"
"PRINCETON COMMUNITY HOSPITAL" "WV"
"CAMPBELL COUNTY MEMORIAL HOSPITAL" "WY"
